"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Alec Burks","1",6e+06,6e+06,"SF-SG",28,"TOT",66,19,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.1,7.1,0.439,0.493,3.6,4,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15,16.7,0.561,0.392,0.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,NA,2.5,1.2,3.7,0.101,NA,1.2,-0.7,0.5,1.1
"2","Alex Len","1",2258000,2258000,"C",26,"TOT",55,12,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4,5.8,0.9,0.4,0.9,1,2.3,8,17.7,0.6,0.185,0.329,11.1,25.2,18,7.9,1.1,4.3,13.1,18.1,NA,1.5,1,2.5,0.122,NA,-0.5,-0.3,-0.7,0.3
"3","Anthony Davis","5",189903600,37980720,"PF",26,"LAL",62,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1,27.4,0.61,0.199,0.479,7.4,22.1,14.8,15.1,2,6,10.4,29.3,NA,6.7,4.4,11.1,0.25,NA,5.4,2.6,8,5.4
"4","Aron Baynes","2",14350000,7175000,"C",33,"PHO",42,28,22.2,4.4,9.1,0.48,1.4,4,0.351,3,5.1,0.582,0.558,1.3,1.8,0.747,1.7,4,5.6,1.6,0.2,0.5,1.2,3.4,11.5,15.2,0.581,0.441,0.197,8.3,20,14.1,10.9,0.5,2.1,10.8,21.1,NA,1.3,0.8,2.1,0.107,NA,-0.2,-0.8,-1,0.2
"5","Austin Rivers","3",9975000,3325000,"SG",27,"HOU",68,4,23.4,3.1,7.4,0.421,1.4,4,0.356,1.7,3.4,0.498,0.517,1.1,1.6,0.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8,10.4,0.542,0.539,0.222,1.8,9.8,5.8,10,1.4,0.5,8.3,15.6,NA,1.2,1.2,2.4,0.072,NA,-2.1,-0.4,-2.5,-0.2
"6","Avery Bradley","1",5635000,5635000,"SG",29,"LAL",49,44,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2,2.3,1.3,0.9,0.1,1,2.2,8.6,8.9,0.537,0.452,0.063,1.7,8.9,5.3,7.2,1.7,0.4,10.7,15.7,NA,0.2,1.4,1.5,0.062,NA,-3,0.5,-2.5,-0.2
"7","Bismack Biyombo","1",3500000,3500000,"C",27,"CHO",53,29,19.4,2.8,5.2,0.543,0,0,NA,2.8,5.2,0.543,0.543,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,16.1,0.57,0,0.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,NA,1.5,0.9,2.4,0.113,NA,-1.8,-0.7,-2.5,-0.1
"8","Bobby Portis","2",7427150,3713575,"PF",24,"NYK",66,5,21.1,4,8.9,0.45,1,2.8,0.358,3,6.1,0.493,0.507,1.1,1.4,0.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1,14.6,0.53,0.317,0.158,6,20.4,12.9,11.1,1.1,1.2,10.4,21.4,NA,0.9,1,1.9,0.064,NA,0,-1.1,-1.1,0.3
"9","Brandon Ingram","5",158253000,31650600,"PF",22,"NOP",62,62,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5,5.9,0.851,0.8,5.3,6.1,4.2,1,0.6,3,2.9,23.8,18.8,0.587,0.35,0.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,NA,3.3,1.8,5.1,0.115,NA,2.5,-0.4,2.1,2.2
"10","Bryn Forbes","2",4791147,2395574,"SG",26,"SAS",63,62,25.1,3.8,9.2,0.417,2.3,6,0.388,1.5,3.2,0.47,0.544,1.2,1.4,0.833,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2,11.1,0.57,0.656,0.155,0.8,7.8,4.3,9.5,1,0,8.4,18.5,NA,1.3,0.3,1.5,0.047,NA,-0.6,-2.1,-2.7,-0.3
